config,vulnerability,severity
JWT_SECRET_LENGTH=6;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=301,unknown,unknown
JWT_SECRET_LENGTH=18;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1803,unknown,unknown
JWT_SECRET_LENGTH=35;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1804,unknown,unknown
JWT_SECRET_LENGTH=24;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1805,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1806,unknown,unknown
JWT_SECRET_LENGTH=11;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1807,unknown,unknown
JWT_SECRET_LENGTH=23;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3608,unknown,unknown
JWT_SECRET_LENGTH=40;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=308,unknown,unknown
JWT_SECRET_LENGTH=29;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1810,unknown,unknown
JWT_SECRET_LENGTH=42;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1811,unknown,unknown
JWT_SECRET_LENGTH=5;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1812,unknown,unknown
JWT_SECRET_LENGTH=28;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1813,unknown,unknown
JWT_SECRET_LENGTH=45;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1814,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3615,unknown,unknown
JWT_SECRET_LENGTH=47;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=315,unknown,unknown
JWT_SECRET_LENGTH=10;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1817,unknown,unknown
JWT_SECRET_LENGTH=17;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1818,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1819,unknown,unknown
JWT_SECRET_LENGTH=39;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1820,unknown,unknown
JWT_SECRET_LENGTH=52;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1821,unknown,unknown
JWT_SECRET_LENGTH=15;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3622,unknown,unknown
JWT_SECRET_LENGTH=22;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=322,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1824,unknown,unknown
JWT_SECRET_LENGTH=23;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1825,unknown,unknown
JWT_SECRET_LENGTH=57;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1826,unknown,unknown
JWT_SECRET_LENGTH=9;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1827,unknown,unknown
JWT_SECRET_LENGTH=27;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1828,unknown,unknown
JWT_SECRET_LENGTH=43;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3629,unknown,unknown
JWT_SECRET_LENGTH=28;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=329,unknown,unknown
JWT_SECRET_LENGTH=62;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1831,unknown,unknown
JWT_SECRET_LENGTH=14;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1832,unknown,unknown
JWT_SECRET_LENGTH=16;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1833,unknown,unknown
JWT_SECRET_LENGTH=48;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1834,unknown,unknown
JWT_SECRET_LENGTH=33;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1835,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3636,unknown,unknown
JWT_SECRET_LENGTH=8;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=336,unknown,unknown
JWT_SECRET_LENGTH=21;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1838,unknown,unknown
JWT_SECRET_LENGTH=36;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1839,unknown,unknown
JWT_SECRET_LENGTH=38;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1840,unknown,unknown
JWT_SECRET_LENGTH=39;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1841,unknown,unknown
JWT_SECRET_LENGTH=13;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1842,unknown,unknown
JWT_SECRET_LENGTH=26;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3643,unknown,unknown
JWT_SECRET_LENGTH=41;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=343,unknown,unknown
JWT_SECRET_LENGTH=22;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1845,unknown,unknown
JWT_SECRET_LENGTH=44;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1846,unknown,unknown
JWT_SECRET_LENGTH=7;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1847,unknown,unknown
JWT_SECRET_LENGTH=31;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1848,unknown,unknown
JWT_SECRET_LENGTH=46;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1849,unknown,unknown
JWT_SECRET_LENGTH=27;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3650,unknown,unknown
JWT_SECRET_LENGTH=49;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=350,unknown,unknown
JWT_SECRET_LENGTH=12;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1852,unknown,unknown
JWT_SECRET_LENGTH=20;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1853,unknown,unknown
JWT_SECRET_LENGTH=34;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1854,unknown,unknown
JWT_SECRET_LENGTH=32;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1855,unknown,unknown
JWT_SECRET_LENGTH=54;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1856,unknown,unknown
JWT_SECRET_LENGTH=6;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3657,unknown,unknown
JWT_SECRET_LENGTH=25;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=357,unknown,unknown
JWT_SECRET_LENGTH=39;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1859,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1860,unknown,unknown
JWT_SECRET_LENGTH=59;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1861,unknown,unknown
JWT_SECRET_LENGTH=11;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1862,unknown,unknown
JWT_SECRET_LENGTH=30;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1863,unknown,unknown
JWT_SECRET_LENGTH=44;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3664,unknown,unknown
JWT_SECRET_LENGTH=21;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=364,unknown,unknown
JWT_SECRET_LENGTH=64;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1866,unknown,unknown
JWT_SECRET_LENGTH=5;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1867,unknown,unknown
JWT_SECRET_LENGTH=19;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1868,unknown,unknown
JWT_SECRET_LENGTH=32;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1869,unknown,unknown
JWT_SECRET_LENGTH=26;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1870,unknown,unknown
JWT_SECRET_LENGTH=36;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3671,unknown,unknown
JWT_SECRET_LENGTH=10;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=371,unknown,unknown
JWT_SECRET_LENGTH=24;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1873,unknown,unknown
JWT_SECRET_LENGTH=37;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1874,unknown,unknown
JWT_SECRET_LENGTH=31;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1875,unknown,unknown
JWT_SECRET_LENGTH=41;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1876,unknown,unknown
JWT_SECRET_LENGTH=15;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1877,unknown,unknown
JWT_SECRET_LENGTH=29;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=3678,unknown,unknown
JWT_SECRET_LENGTH=42;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=378,unknown,unknown
JWT_SECRET_LENGTH=36;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1880,unknown,unknown
JWT_SECRET_LENGTH=46;COOKIE_SECURE=1;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=1881,unknown,unknown
JWT_SECRET_LENGTH=9;COOKIE_SECURE=0;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1882,unknown,unknown
JWT_SECRET_LENGTH=18;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1883,unknown,unknown
JWT_SECRET_LENGTH=47;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=1884,unknown,unknown
JWT_SECRET_LENGTH=20;COOKIE_SECURE=0;COOKIE_HTTPONLY=0;SESSION_TIMEOUT=3685,unknown,unknown
JWT_SECRET_LENGTH=51;COOKIE_SECURE=1;COOKIE_HTTPONLY=1;SESSION_TIMEOUT=385,unknown,unknown
