jwt_secret_length,cookie_secure,cookie_httponly,session_timeout,vulnerability,severity
38,1,1,2744,unknown,unknown
22,0,1,4663,unknown,unknown
40,1,1,3060,unknown,unknown
10,1,1,2367,unknown,unknown
6,1,1,1887,unknown,unknown
31,1,1,3008,unknown,unknown
54,1,0,5141,unknown,unknown
35,0,1,3436,unknown,unknown
15,0,1,2482,unknown,unknown
37,1,1,2631,unknown,unknown
35,0,1,390,unknown,unknown
37,1,1,3090,unknown,unknown
23,1,1,4728,unknown,unknown
54,1,0,1478,unknown,unknown
28,1,1,1527,unknown,unknown
44,0,1,2026,unknown,unknown
41,1,0,3089,unknown,unknown
44,0,1,2344,unknown,unknown
10,1,1,1982,unknown,unknown
28,1,0,1484,unknown,unknown
40,1,1,2234,unknown,unknown
7,1,1,2027,unknown,unknown
58,1,1,2091,unknown,unknown
9,1,1,6212,unknown,unknown
24,1,0,2405,unknown,unknown
28,1,1,1212,unknown,unknown
13,1,0,2337,unknown,unknown
39,1,1,1793,unknown,unknown
33,1,1,3290,unknown,unknown
27,1,1,2348,unknown,unknown
20,0,1,3790,unknown,unknown
44,0,1,494,unknown,unknown
5,1,1,2447,unknown,unknown
31,0,1,1888,unknown,unknown
48,1,0,3881,unknown,unknown
31,1,1,2168,unknown,unknown
23,1,1,1065,unknown,unknown
17,0,1,1197,unknown,unknown
43,0,0,4789,unknown,unknown
37,1,1,1295,unknown,unknown
12,1,1,2072,unknown,unknown
64,1,1,1190,unknown,unknown
11,1,1,2607,unknown,unknown
43,1,1,2139,unknown,unknown
7,0,1,2482,unknown,unknown
47,1,0,1869,unknown,unknown
43,1,0,2069,unknown,unknown
34,1,1,3044,unknown,unknown
36,1,0,3545,unknown,unknown
16,1,0,3713,unknown,unknown
35,0,1,1723,unknown,unknown
6,1,1,2022,unknown,unknown
48,1,0,2429,unknown,unknown
63,1,1,7031,unknown,unknown
17,0,1,1555,unknown,unknown
37,1,1,4131,unknown,unknown
15,1,1,4392,unknown,unknown
30,1,1,3455,unknown,unknown
30,0,1,4063,unknown,unknown
41,0,1,2566,unknown,unknown
24,0,0,2353,unknown,unknown
5,0,0,2857,unknown,unknown
56,0,1,2911,unknown,unknown
30,1,1,2000,unknown,unknown
18,1,1,2483,unknown,unknown
44,1,1,2204,unknown,unknown
15,1,1,1499,unknown,unknown
37,1,1,6576,unknown,unknown
42,1,1,4754,unknown,unknown
39,1,0,2169,unknown,unknown
11,1,1,3347,unknown,unknown
