jwt_secret_length,cookie_secure,cookie_httponly,session_timeout,vulnerability,severity
6,1,1,301,weak_jwt_secret,high
18,1,1,1803,none,low
35,0,1,1804,insecure_cookie,high
24,1,0,1805,missing_httponly,medium
37,1,1,1806,none,low
11,0,1,1807,weak_jwt_secret,high
23,1,1,3608,long_session,medium
40,1,0,308,missing_httponly,medium
29,0,1,1810,insecure_cookie,high
42,1,1,1811,none,low
5,1,1,1812,weak_jwt_secret,high
28,0,0,1813,insecure_cookie,high
45,1,1,1814,none,low
34,1,1,3615,long_session,medium
47,0,1,315,insecure_cookie,high
10,1,0,1817,weak_jwt_secret,high
17,1,1,1818,none,low
33,0,1,1819,insecure_cookie,high
39,1,1,1820,none,low
52,1,0,1821,missing_httponly,medium
15,0,1,3622,weak_jwt_secret,high
22,1,1,322,none,low
38,1,1,1824,none,low
23,0,0,1825,insecure_cookie,high
57,1,1,1826,none,low
9,1,1,1827,weak_jwt_secret,high
27,0,1,1828,insecure_cookie,high
43,1,0,3629,missing_httponly,medium
28,1,1,329,none,low
62,0,1,1831,insecure_cookie,high
14,1,1,1832,weak_jwt_secret,high
16,1,0,1833,missing_httponly,medium
48,0,1,1834,insecure_cookie,high
33,1,1,1835,none,low
34,1,1,3636,long_session,medium
8,0,0,336,weak_jwt_secret,high
21,1,1,1838,none,low
36,1,1,1839,none,low
38,0,1,1840,insecure_cookie,high
39,1,0,1841,missing_httponly,medium
13,1,1,1842,weak_jwt_secret,high
26,0,1,3643,insecure_cookie,high
41,1,1,343,none,low
22,1,0,1845,missing_httponly,medium
44,0,1,1846,insecure_cookie,high
7,1,1,1847,weak_jwt_secret,high
31,1,1,1848,none,low
46,0,0,1849,insecure_cookie,high
27,1,1,3650,long_session,medium
49,1,1,350,none,low
12,0,1,1852,weak_jwt_secret,high
20,1,0,1853,missing_httponly,medium
34,1,1,1854,none,low
32,0,1,1855,insecure_cookie,high
54,1,1,1856,none,low
6,1,0,3657,weak_jwt_secret,high
25,0,1,357,insecure_cookie,high
39,1,1,1859,none,low
37,1,1,1860,none,low
59,0,0,1861,insecure_cookie,high
11,1,1,1862,weak_jwt_secret,high
30,1,1,1863,none,low
44,0,1,3664,insecure_cookie,high
21,1,0,364,missing_httponly,medium
64,1,1,1866,none,low
5,0,1,1867,weak_jwt_secret,high
19,1,1,1868,none,low
32,1,0,1869,missing_httponly,medium
26,0,1,1870,insecure_cookie,high
36,1,1,3671,long_session,medium
10,1,1,371,weak_jwt_secret,high
24,0,0,1873,insecure_cookie,high
37,1,1,1874,none,low
31,1,1,1875,none,low
41,0,1,1876,insecure_cookie,high
15,1,0,1877,weak_jwt_secret,high
29,1,1,3678,long_session,medium
42,0,1,378,insecure_cookie,high
36,1,1,1880,none,low
46,1,0,1881,missing_httponly,medium
9,0,1,1882,weak_jwt_secret,high
18,1,1,1883,none,low
47,1,1,1884,none,low
20,0,0,3685,insecure_cookie,high
51,1,1,385,none,low
14,1,1,1887,weak_jwt_secret,high
23,0,1,1888,insecure_cookie,high
35,1,0,1889,missing_httponly,medium
25,1,1,1890,none,low
56,0,1,1891,insecure_cookie,high
8,1,1,3692,weak_jwt_secret,high
28,1,0,392,missing_httponly,medium
40,0,1,1894,insecure_cookie,high
30,1,1,1895,none,low
61,1,1,1896,none,low
13,0,0,1897,weak_jwt_secret,high
17,1,1,1898,none,low
45,1,1,3699,long_session,medium
35,0,1,399,insecure_cookie,high
33,1,0,1901,missing_httponly,medium
7,1,1,1902,weak_jwt_secret,high
22,0,1,1903,insecure_cookie,high
33,1,1,1904,none,low
40,1,0,1905,missing_httponly,medium
38,0,1,3706,insecure_cookie,high
12,1,1,406,weak_jwt_secret,high
27,1,1,1908,none,low
38,0,0,1909,insecure_cookie,high
24,1,1,1910,none,low
43,1,1,1911,none,low
6,0,1,1912,weak_jwt_secret,high
16,1,0,3713,missing_httponly,medium
43,1,1,413,none,low
29,0,1,1915,insecure_cookie,high
48,1,1,1916,none,low
11,1,0,1917,weak_jwt_secret,high
21,0,1,1918,insecure_cookie,high
48,1,1,1919,none,low
34,1,1,3720,long_session,medium
53,0,0,420,insecure_cookie,high
5,1,1,1922,weak_jwt_secret,high
26,1,1,1923,none,low
36,0,1,1924,insecure_cookie,high
39,1,0,1925,missing_httponly,medium
58,1,1,1926,none,low
10,0,1,3727,weak_jwt_secret,high
31,1,1,427,none,low
41,1,0,1929,missing_httponly,medium
23,0,1,1930,insecure_cookie,high
63,1,1,1931,none,low
15,1,1,1932,weak_jwt_secret,high
20,0,0,1933,insecure_cookie,high
46,1,1,3734,long_session,medium
28,1,1,434,none,low
35,0,1,1936,insecure_cookie,high
9,1,0,1937,weak_jwt_secret,high
25,1,1,1938,none,low
34,0,1,1939,insecure_cookie,high
33,1,1,1940,none,low
40,1,0,3741,missing_httponly,medium
14,0,1,441,weak_jwt_secret,high
30,1,1,1943,none,low
39,1,1,1944,none,low
38,0,0,1945,insecure_cookie,high
45,1,1,1946,none,low
8,1,1,1947,weak_jwt_secret,high
19,0,1,3748,insecure_cookie,high
44,1,0,448,missing_httponly,medium
22,1,1,1950,none,low
50,0,1,1951,insecure_cookie,high
13,1,1,1952,weak_jwt_secret,high
24,1,0,1953,missing_httponly,medium
32,0,1,1954,insecure_cookie,high
27,1,1,3755,long_session,medium
55,1,1,455,none,low
7,0,0,1957,weak_jwt_secret,high
29,1,1,1958,none,low
37,1,1,1959,none,low
32,0,1,1960,insecure_cookie,high
60,1,0,1961,missing_httponly,medium
12,1,1,3762,weak_jwt_secret,high
18,0,1,462,insecure_cookie,high
42,1,1,1964,none,low
37,1,0,1965,missing_httponly,medium
32,0,1,1966,insecure_cookie,high
6,1,1,1967,weak_jwt_secret,high
23,1,1,1968,none,low
47,0,0,3769,insecure_cookie,high
21,1,1,469,none,low
37,1,1,1971,none,low
